Name,Ref:Opportunity__c:Opportunity,Requirement_Type__c,Type__c,Status__c,Due_Date__c,Submission_Date__c,Milestone_Amount__c,Comments__c
Final Evaluation - FY2024 Grant - 00030,CE-OPP-00030,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00031,CE-OPP-00031,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00032,CE-OPP-00032,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00033,CE-OPP-00033,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00034,CE-OPP-00034,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00035,CE-OPP-00035,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00036,CE-OPP-00036,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00037,CE-OPP-00037,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00038,CE-OPP-00038,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00039,CE-OPP-00039,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00040,CE-OPP-00040,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00041,CE-OPP-00041,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00042,CE-OPP-00042,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00043,CE-OPP-00043,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00044,CE-OPP-00044,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00045,CE-OPP-00045,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00046,CE-OPP-00046,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00047,CE-OPP-00047,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00048,CE-OPP-00048,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00049,CE-OPP-00049,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00050,CE-OPP-00050,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00051,CE-OPP-00051,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00052,CE-OPP-00052,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00053,CE-OPP-00053,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00054,CE-OPP-00054,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00055,CE-OPP-00055,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00056,CE-OPP-00056,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00057,CE-OPP-00057,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00058,CE-OPP-00058,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00059,CE-OPP-00059,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00060,CE-OPP-00060,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00061,CE-OPP-00061,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00062,CE-OPP-00062,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00063,CE-OPP-00063,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00064,CE-OPP-00064,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00065,CE-OPP-00065,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00066,CE-OPP-00066,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00067,CE-OPP-00067,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00068,CE-OPP-00068,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00069,CE-OPP-00069,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00070,CE-OPP-00070,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00071,CE-OPP-00071,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00072,CE-OPP-00072,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00073,CE-OPP-00073,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00074,CE-OPP-00074,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00075,CE-OPP-00075,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00076,CE-OPP-00076,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00077,CE-OPP-00077,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00078,CE-OPP-00078,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00079,CE-OPP-00079,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00080,CE-OPP-00080,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00081,CE-OPP-00081,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00082,CE-OPP-00082,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00083,CE-OPP-00083,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00084,CE-OPP-00084,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00085,CE-OPP-00085,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00086,CE-OPP-00086,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00087,CE-OPP-00087,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00088,CE-OPP-00088,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2022 Grant - 00089,CE-OPP-00089,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00090,CE-OPP-00090,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00091,CE-OPP-00091,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00092,CE-OPP-00092,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00093,CE-OPP-00093,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00094,CE-OPP-00094,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00095,CE-OPP-00095,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00096,CE-OPP-00096,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00097,CE-OPP-00097,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00098,CE-OPP-00098,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00099,CE-OPP-00099,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00100,CE-OPP-00100,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2022 Grant - 00101,CE-OPP-00101,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00102,CE-OPP-00102,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00103,CE-OPP-00103,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00104,CE-OPP-00104,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00105,CE-OPP-00105,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00106,CE-OPP-00106,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00107,CE-OPP-00107,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00108,CE-OPP-00108,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00109,CE-OPP-00109,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00110,CE-OPP-00110,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00111,CE-OPP-00111,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00112,CE-OPP-00112,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00113,CE-OPP-00113,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00114,CE-OPP-00114,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00115,CE-OPP-00115,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00116,CE-OPP-00116,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00117,CE-OPP-00117,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00118,CE-OPP-00118,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00119,CE-OPP-00119,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00120,CE-OPP-00120,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00121,CE-OPP-00121,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00122,CE-OPP-00122,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2022 Grant - 00123,CE-OPP-00123,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00124,CE-OPP-00124,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00125,CE-OPP-00125,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2025 Grant - 00126,CE-OPP-00126,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00127,CE-OPP-00127,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2025 Grant - 00128,CE-OPP-00128,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00129,CE-OPP-00129,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00130,CE-OPP-00130,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00131,CE-OPP-00131,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00132,CE-OPP-00132,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00133,CE-OPP-00133,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00134,CE-OPP-00134,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00135,CE-OPP-00135,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00136,CE-OPP-00136,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00137,CE-OPP-00137,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00138,CE-OPP-00138,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00139,CE-OPP-00139,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00140,CE-OPP-00140,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00141,CE-OPP-00141,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00142,CE-OPP-00142,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00143,CE-OPP-00143,Required,Letter of Intent (LOI),Submitted,2024-09-15,2024-09-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00144,CE-OPP-00144,Required,Tax Exemption Document,Approved,2025-11-15,2025-11-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2025 Grant - 00145,CE-OPP-00145,Optional,Final Evaluation,Overdue,2024-01-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00146,CE-OPP-00146,Required,Financial Report,Not Started,2025-03-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00147,CE-OPP-00147,Required,Progress Report,In Progress,2024-05-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00148,CE-OPP-00148,Optional,Letter of Intent (LOI),Submitted,2025-07-15,2025-07-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00149,CE-OPP-00149,Required,Tax Exemption Document,Approved,2024-09-15,2024-09-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00150,CE-OPP-00150,Required,Final Evaluation,Overdue,2025-11-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00151,CE-OPP-00151,Optional,Financial Report,Not Started,2024-01-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00152,CE-OPP-00152,Required,Progress Report,In Progress,2025-03-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00153,CE-OPP-00153,Required,Letter of Intent (LOI),Submitted,2024-05-15,2024-05-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2025 Grant - 00154,CE-OPP-00154,Optional,Tax Exemption Document,Approved,2025-07-15,2025-07-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00155,CE-OPP-00155,Required,Final Evaluation,Overdue,2024-09-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2024 Grant - 00156,CE-OPP-00156,Required,Financial Report,Not Started,2025-11-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2022 Grant - 00157,CE-OPP-00157,Optional,Progress Report,In Progress,2024-01-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00158,CE-OPP-00158,Required,Letter of Intent (LOI),Submitted,2025-03-15,2025-03-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2024 Grant - 00159,CE-OPP-00159,Required,Tax Exemption Document,Approved,2024-05-15,2024-05-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2024 Grant - 00160,CE-OPP-00160,Optional,Final Evaluation,Overdue,2025-07-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00161,CE-OPP-00161,Required,Financial Report,Not Started,2024-09-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2023 Grant - 00162,CE-OPP-00162,Required,Progress Report,In Progress,2025-11-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2024 Grant - 00163,CE-OPP-00163,Optional,Letter of Intent (LOI),Submitted,2024-01-15,2024-01-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00164,CE-OPP-00164,Required,Tax Exemption Document,Approved,2025-03-15,2025-03-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2022 Grant - 00165,CE-OPP-00165,Required,Final Evaluation,Overdue,2024-05-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00166,CE-OPP-00166,Optional,Financial Report,Not Started,2025-07-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2024 Grant - 00167,CE-OPP-00167,Required,Progress Report,In Progress,2024-09-15,,25000.00,Standard reporting milestone. No special conditions.
Letter of Intent (LOI) - FY2023 Grant - 00168,CE-OPP-00168,Required,Letter of Intent (LOI),Submitted,2025-11-15,2025-11-10,5000.00,Standard reporting milestone. No special conditions.
Tax Exemption Document - FY2023 Grant - 00169,CE-OPP-00169,Optional,Tax Exemption Document,Approved,2024-01-15,2024-01-10,50000.00,Standard reporting milestone. No special conditions.
Final Evaluation - FY2023 Grant - 00170,CE-OPP-00170,Required,Final Evaluation,Overdue,2025-03-15,,12500.00,Standard reporting milestone. No special conditions.
Financial Report - FY2023 Grant - 00171,CE-OPP-00171,Required,Financial Report,Not Started,2024-05-15,,10000.00,Standard reporting milestone. No special conditions.
Progress Report - FY2025 Grant - 00172,CE-OPP-00172,Optional,Progress Report,In Progress,2025-07-15,,25000.00,Standard reporting milestone. No special conditions.
