#Key,Name,Ref:AccountId:Account,StageName,Amount,CloseDate,Type,GL_Fund_Code__c
CE-OPP-00028,FY2023 Grant - 00028,CE-ACC-00028,Prospecting,11051.28,2023-01-13,Grant,FUND-410-CAPITAL
CE-OPP-00029,FY2022 Grant - 00029,CE-ACC-00029,Closed Won,5588.77,2022-10-23,Grant,FUND-100-GEN
CE-OPP-00030,FY2024 Grant - 00030,CE-ACC-00030,Closed Won,25711.40,2024-09-09,Grant,FUND-210-SCHOL
CE-OPP-00031,FY2025 Grant - 00031,CE-ACC-00031,Closed Won,9563.54,2025-03-22,Grant,FUND-320-BLUETECH
CE-OPP-00032,FY2022 Grant - 00032,CE-ACC-00032,Closed Won,5927.50,2022-12-01,Grant,FUND-410-CAPITAL
CE-OPP-00033,FY2023 Grant - 00033,CE-ACC-00033,Closed Won,5234.44,2023-10-16,Grant,FUND-100-GEN
CE-OPP-00034,FY2024 Grant - 00034,CE-ACC-00034,Closed Won,39944.11,2024-01-11,Grant,FUND-210-SCHOL
CE-OPP-00035,FY2024 Grant - 00035,CE-ACC-00035,Closed Won,15916.45,2024-12-22,Grant,FUND-320-BLUETECH
CE-OPP-00036,FY2022 Grant - 00036,CE-ACC-00036,Closed Won,6854.19,2022-05-14,Grant,FUND-410-CAPITAL
CE-OPP-00037,FY2022 Grant - 00037,CE-ACC-00037,Awarded,25068.85,2022-02-21,Grant,FUND-100-GEN
CE-OPP-00038,FY2025 Grant - 00038,CE-ACC-00038,Closed Won,16339.90,2025-03-24,Grant,FUND-210-SCHOL
CE-OPP-00039,FY2023 Grant - 00039,CE-ACC-00039,Closed Won,18626.65,2023-09-06,Grant,FUND-320-BLUETECH
CE-OPP-00040,FY2024 Grant - 00040,CE-ACC-00040,Closed Won,5728.83,2024-12-14,Grant,FUND-410-CAPITAL
CE-OPP-00041,FY2023 Grant - 00041,CE-ACC-00041,Closed Lost,29134.61,2023-06-05,Grant,FUND-100-GEN
CE-OPP-00042,FY2022 Grant - 00042,CE-ACC-00042,Closed Won,12709.22,2022-12-14,Grant,FUND-210-SCHOL
CE-OPP-00043,FY2023 Grant - 00043,CE-ACC-00043,Closed Won,5471.90,2023-11-23,Grant,FUND-320-BLUETECH
CE-OPP-00044,FY2025 Grant - 00044,CE-ACC-00044,Awarded,9238.01,2025-11-23,Grant,FUND-410-CAPITAL
CE-OPP-00045,FY2024 Grant - 00045,CE-ACC-00045,Closed Lost,21553.34,2024-01-15,Grant,FUND-100-GEN
CE-OPP-00046,FY2024 Grant - 00046,CE-ACC-00046,Proposal Submitted,46603.40,2024-10-01,Grant,FUND-210-SCHOL
CE-OPP-00047,FY2025 Grant - 00047,CE-ACC-00047,Closed Won,8076.66,2025-04-16,Grant,FUND-320-BLUETECH
CE-OPP-00048,FY2023 Grant - 00048,CE-ACC-00048,Closed Won,92038.13,2023-10-08,Grant,FUND-410-CAPITAL
CE-OPP-00049,FY2022 Grant - 00049,CE-ACC-00049,Closed Won,13353.43,2022-04-19,Grant,FUND-100-GEN
CE-OPP-00050,FY2024 Grant - 00050,CE-ACC-00050,Closed Won,24614.84,2024-10-27,Grant,FUND-210-SCHOL
CE-OPP-00051,FY2022 Grant - 00051,CE-ACC-00051,Closed Won,24592.91,2022-10-18,Grant,FUND-320-BLUETECH
CE-OPP-00052,FY2022 Grant - 00052,CE-ACC-00052,Closed Won,3537.50,2022-10-28,Grant,FUND-410-CAPITAL
CE-OPP-00053,FY2024 Grant - 00053,CE-ACC-00053,Closed Lost,8419.44,2024-08-15,Grant,FUND-100-GEN
CE-OPP-00054,FY2023 Grant - 00054,CE-ACC-00054,Closed Lost,12746.92,2023-01-22,Grant,FUND-210-SCHOL
CE-OPP-00055,FY2025 Grant - 00055,CE-ACC-00055,Closed Won,2201.98,2025-11-06,Grant,FUND-320-BLUETECH
CE-OPP-00056,FY2023 Grant - 00056,CE-ACC-00056,Closed Won,4547.73,2023-04-21,Grant,FUND-410-CAPITAL
CE-OPP-00057,FY2023 Grant - 00057,CE-ACC-00057,Closed Won,8431.75,2023-12-19,Grant,FUND-100-GEN
CE-OPP-00058,FY2023 Grant - 00058,CE-ACC-00058,Prospecting,3713.56,2023-02-19,Grant,FUND-210-SCHOL
CE-OPP-00059,FY2023 Grant - 00059,CE-ACC-00059,Closed Won,9216.98,2023-09-09,Grant,FUND-320-BLUETECH
CE-OPP-00060,FY2023 Grant - 00060,CE-ACC-00060,Closed Lost,9786.86,2023-09-22,Grant,FUND-410-CAPITAL
CE-OPP-00061,FY2024 Grant - 00061,CE-ACC-00061,Closed Won,25083.61,2024-10-26,Grant,FUND-100-GEN
CE-OPP-00062,FY2023 Grant - 00062,CE-ACC-00062,Closed Won,56724.20,2023-08-13,Grant,FUND-210-SCHOL
CE-OPP-00063,FY2024 Grant - 00063,CE-ACC-00063,Closed Won,9897.16,2024-10-23,Grant,FUND-320-BLUETECH
CE-OPP-00064,FY2022 Grant - 00064,CE-ACC-00064,Awarded,12578.49,2022-12-15,Grant,FUND-410-CAPITAL
CE-OPP-00065,FY2025 Grant - 00065,CE-ACC-00065,Closed Won,17757.48,2025-01-22,Grant,FUND-100-GEN
CE-OPP-00066,FY2022 Grant - 00066,CE-ACC-00066,Awarded,18419.39,2022-04-16,Grant,FUND-210-SCHOL
CE-OPP-00067,FY2023 Grant - 00067,CE-ACC-00067,Closed Won,5382.58,2023-08-11,Grant,FUND-320-BLUETECH
CE-OPP-00068,FY2023 Grant - 00068,CE-ACC-00068,Proposal Submitted,56693.78,2023-09-25,Grant,FUND-410-CAPITAL
CE-OPP-00069,FY2023 Grant - 00069,CE-ACC-00069,Closed Won,2122.73,2023-04-07,Grant,FUND-100-GEN
CE-OPP-00070,FY2024 Grant - 00070,CE-ACC-00070,Closed Won,43679.93,2024-02-12,Grant,FUND-210-SCHOL
CE-OPP-00071,FY2024 Grant - 00071,CE-ACC-00071,Proposal Submitted,38395.55,2024-01-02,Grant,FUND-320-BLUETECH
CE-OPP-00072,FY2024 Grant - 00072,CE-ACC-00072,Closed Won,27877.98,2024-11-22,Grant,FUND-410-CAPITAL
CE-OPP-00073,FY2022 Grant - 00073,CE-ACC-00073,Closed Won,46794.60,2022-06-28,Grant,FUND-100-GEN
CE-OPP-00074,FY2022 Grant - 00074,CE-ACC-00074,Closed Lost,1364.52,2022-06-20,Grant,FUND-210-SCHOL
CE-OPP-00075,FY2024 Grant - 00075,CE-ACC-00075,Closed Lost,10976.58,2024-04-08,Grant,FUND-320-BLUETECH
CE-OPP-00076,FY2024 Grant - 00076,CE-ACC-00076,Closed Lost,6587.56,2024-04-18,Grant,FUND-410-CAPITAL
CE-OPP-00077,FY2025 Grant - 00077,CE-ACC-00077,Closed Won,18398.68,2025-02-24,Grant,FUND-100-GEN
CE-OPP-00078,FY2025 Grant - 00078,CE-ACC-00078,Closed Lost,1739.34,2025-04-26,Grant,FUND-210-SCHOL
CE-OPP-00079,FY2022 Grant - 00079,CE-ACC-00079,Closed Lost,28523.93,2022-11-20,Grant,FUND-320-BLUETECH
CE-OPP-00080,FY2022 Grant - 00080,CE-ACC-00080,Closed Won,29354.16,2022-04-04,Grant,FUND-410-CAPITAL
CE-OPP-00081,FY2025 Grant - 00081,CE-ACC-00081,Closed Won,63461.06,2025-12-09,Grant,FUND-100-GEN
CE-OPP-00082,FY2024 Grant - 00082,CE-ACC-00082,Closed Lost,21416.03,2024-12-21,Grant,FUND-210-SCHOL
CE-OPP-00083,FY2023 Grant - 00083,CE-ACC-00083,Awarded,1691.01,2023-09-11,Grant,FUND-320-BLUETECH
CE-OPP-00084,FY2023 Grant - 00084,CE-ACC-00084,Closed Won,10059.46,2023-09-21,Grant,FUND-410-CAPITAL
CE-OPP-00085,FY2023 Grant - 00085,CE-ACC-00085,Closed Won,71239.97,2023-12-22,Grant,FUND-100-GEN
CE-OPP-00086,FY2024 Grant - 00086,CE-ACC-00086,Closed Won,31236.78,2024-07-11,Grant,FUND-210-SCHOL
CE-OPP-00087,FY2023 Grant - 00087,CE-ACC-00087,Closed Won,10053.98,2023-12-02,Grant,FUND-320-BLUETECH
CE-OPP-00088,FY2023 Grant - 00088,CE-ACC-00088,Closed Lost,16686.83,2023-09-18,Grant,FUND-410-CAPITAL
CE-OPP-00089,FY2022 Grant - 00089,CE-ACC-00089,Prospecting,10926.06,2022-06-07,Grant,FUND-100-GEN
CE-OPP-00090,FY2022 Grant - 00090,CE-ACC-00090,Awarded,4530.24,2022-12-04,Grant,FUND-210-SCHOL
CE-OPP-00091,FY2024 Grant - 00091,CE-ACC-00091,Closed Won,42611.51,2024-10-08,Grant,FUND-320-BLUETECH
CE-OPP-00092,FY2023 Grant - 00092,CE-ACC-00092,Awarded,7234.69,2023-02-07,Grant,FUND-410-CAPITAL
CE-OPP-00093,FY2023 Grant - 00093,CE-ACC-00093,Awarded,8645.76,2023-01-10,Grant,FUND-100-GEN
CE-OPP-00094,FY2025 Grant - 00094,CE-ACC-00094,Closed Won,28189.87,2025-04-01,Grant,FUND-210-SCHOL
CE-OPP-00095,FY2024 Grant - 00095,CE-ACC-00095,Closed Lost,23039.90,2024-10-11,Grant,FUND-320-BLUETECH
CE-OPP-00096,FY2022 Grant - 00096,CE-ACC-00096,Closed Won,4599.30,2022-09-17,Grant,FUND-410-CAPITAL
CE-OPP-00097,FY2024 Grant - 00097,CE-ACC-00097,Closed Won,1756.13,2024-04-17,Grant,FUND-100-GEN
CE-OPP-00098,FY2024 Grant - 00098,CE-ACC-00098,Closed Lost,9765.18,2024-09-04,Grant,FUND-210-SCHOL
CE-OPP-00099,FY2025 Grant - 00099,CE-ACC-00099,Closed Lost,5967.59,2025-05-19,Grant,FUND-320-BLUETECH
CE-OPP-00100,FY2024 Grant - 00100,CE-ACC-00100,Closed Won,3500.59,2024-12-02,Grant,FUND-410-CAPITAL
CE-OPP-00101,FY2022 Grant - 00101,CE-ACC-00101,Closed Won,15530.77,2022-03-04,Grant,FUND-100-GEN
CE-OPP-00102,FY2024 Grant - 00102,CE-ACC-00102,Closed Won,3734.84,2024-09-01,Grant,FUND-210-SCHOL
CE-OPP-00103,FY2023 Grant - 00103,CE-ACC-00103,Closed Won,2652.35,2023-05-13,Grant,FUND-320-BLUETECH
CE-OPP-00104,FY2023 Grant - 00104,CE-ACC-00104,Closed Won,23894.10,2023-11-09,Grant,FUND-410-CAPITAL
CE-OPP-00105,FY2023 Grant - 00105,CE-ACC-00105,Prospecting,5153.02,2023-04-04,Grant,FUND-100-GEN
CE-OPP-00106,FY2024 Grant - 00106,CE-ACC-00106,Closed Won,10788.17,2024-10-18,Grant,FUND-210-SCHOL
CE-OPP-00107,FY2023 Grant - 00107,CE-ACC-00107,Closed Won,11987.00,2023-09-04,Grant,FUND-320-BLUETECH
CE-OPP-00108,FY2022 Grant - 00108,CE-ACC-00108,Awarded,74630.40,2022-01-08,Grant,FUND-410-CAPITAL
CE-OPP-00109,FY2024 Grant - 00109,CE-ACC-00109,Closed Lost,19950.50,2024-03-13,Grant,FUND-100-GEN
CE-OPP-00110,FY2023 Grant - 00110,CE-ACC-00110,Prospecting,23639.81,2023-07-08,Grant,FUND-210-SCHOL
CE-OPP-00111,FY2024 Grant - 00111,CE-ACC-00111,Closed Lost,28711.35,2024-09-10,Grant,FUND-320-BLUETECH
CE-OPP-00112,FY2025 Grant - 00112,CE-ACC-00112,Closed Won,16133.56,2025-11-08,Grant,FUND-410-CAPITAL
CE-OPP-00113,FY2024 Grant - 00113,CE-ACC-00113,Prospecting,2660.19,2024-04-08,Grant,FUND-100-GEN
CE-OPP-00114,FY2025 Grant - 00114,CE-ACC-00114,Closed Won,4364.81,2025-03-05,Grant,FUND-210-SCHOL
CE-OPP-00115,FY2023 Grant - 00115,CE-ACC-00115,Closed Won,16326.55,2023-07-20,Grant,FUND-320-BLUETECH
CE-OPP-00116,FY2023 Grant - 00116,CE-ACC-00116,Closed Lost,20034.05,2023-12-18,Grant,FUND-410-CAPITAL
CE-OPP-00117,FY2025 Grant - 00117,CE-ACC-00117,Awarded,15468.11,2025-06-21,Grant,FUND-100-GEN
CE-OPP-00118,FY2025 Grant - 00118,CE-ACC-00118,Proposal Submitted,13203.44,2025-03-01,Grant,FUND-210-SCHOL
CE-OPP-00119,FY2024 Grant - 00119,CE-ACC-00119,Prospecting,11811.53,2024-09-24,Grant,FUND-320-BLUETECH
CE-OPP-00120,FY2024 Grant - 00120,CE-ACC-00120,Closed Won,15306.73,2024-02-11,Grant,FUND-410-CAPITAL
CE-OPP-00121,FY2023 Grant - 00121,CE-ACC-00121,Closed Won,125231.55,2023-10-08,Grant,FUND-100-GEN
CE-OPP-00122,FY2025 Grant - 00122,CE-ACC-00122,Prospecting,2605.08,2025-07-13,Grant,FUND-210-SCHOL
CE-OPP-00123,FY2022 Grant - 00123,CE-ACC-00123,Closed Won,3755.60,2022-11-15,Grant,FUND-320-BLUETECH
CE-OPP-00124,FY2025 Grant - 00124,CE-ACC-00124,Closed Won,33641.48,2025-02-16,Grant,FUND-410-CAPITAL
CE-OPP-00125,FY2025 Grant - 00125,CE-ACC-00125,Closed Lost,1904.57,2025-12-25,Grant,FUND-100-GEN
CE-OPP-00126,FY2025 Grant - 00126,CE-ACC-00126,Awarded,7606.63,2025-12-18,Grant,FUND-210-SCHOL
CE-OPP-00127,FY2024 Grant - 00127,CE-ACC-00127,Closed Lost,22547.90,2024-12-02,Grant,FUND-320-BLUETECH
CE-OPP-00128,FY2025 Grant - 00128,CE-ACC-00128,Prospecting,32357.84,2025-12-03,Grant,FUND-410-CAPITAL
CE-OPP-00129,FY2024 Grant - 00129,CE-ACC-00129,Closed Won,2163.04,2024-12-03,Grant,FUND-100-GEN
CE-OPP-00130,FY2024 Grant - 00130,CE-ACC-00130,Closed Won,19047.13,2024-01-15,Grant,FUND-210-SCHOL
CE-OPP-00131,FY2024 Grant - 00131,CE-ACC-00131,Closed Lost,5849.36,2024-11-22,Grant,FUND-320-BLUETECH
CE-OPP-00132,FY2022 Grant - 00132,CE-ACC-00132,Closed Won,8847.63,2022-12-01,Grant,FUND-410-CAPITAL
CE-OPP-00133,FY2023 Grant - 00133,CE-ACC-00133,Closed Won,84236.09,2023-07-06,Grant,FUND-100-GEN
CE-OPP-00134,FY2024 Grant - 00134,CE-ACC-00134,Closed Won,10967.61,2024-11-22,Grant,FUND-210-SCHOL
CE-OPP-00135,FY2023 Grant - 00135,CE-ACC-00135,Proposal Submitted,11553.13,2023-01-19,Grant,FUND-320-BLUETECH
CE-OPP-00136,FY2023 Grant - 00136,CE-ACC-00136,Prospecting,21873.73,2023-11-27,Grant,FUND-410-CAPITAL
CE-OPP-00137,FY2023 Grant - 00137,CE-ACC-00137,Closed Lost,4780.22,2023-07-17,Grant,FUND-100-GEN
CE-OPP-00138,FY2024 Grant - 00138,CE-ACC-00138,Closed Won,25176.22,2024-04-06,Grant,FUND-210-SCHOL
CE-OPP-00139,FY2024 Grant - 00139,CE-ACC-00139,Closed Won,6903.71,2024-12-20,Grant,FUND-320-BLUETECH
CE-OPP-00140,FY2025 Grant - 00140,CE-ACC-00140,Proposal Submitted,23060.45,2025-11-06,Grant,FUND-410-CAPITAL
CE-OPP-00141,FY2023 Grant - 00141,CE-ACC-00141,Closed Won,15834.51,2023-10-12,Grant,FUND-100-GEN
CE-OPP-00142,FY2024 Grant - 00142,CE-ACC-00142,Prospecting,13524.38,2024-07-11,Grant,FUND-210-SCHOL
CE-OPP-00143,FY2024 Grant - 00143,CE-ACC-00143,Closed Won,13545.84,2024-05-06,Grant,FUND-320-BLUETECH
CE-OPP-00144,FY2023 Grant - 00144,CE-ACC-00144,Closed Won,14921.14,2023-12-10,Grant,FUND-410-CAPITAL
CE-OPP-00145,FY2025 Grant - 00145,CE-ACC-00145,Closed Lost,17607.93,2025-08-17,Grant,FUND-100-GEN
CE-OPP-00146,FY2024 Grant - 00146,CE-ACC-00146,Closed Won,186962.08,2024-12-20,Grant,FUND-210-SCHOL
CE-OPP-00147,FY2024 Grant - 00147,CE-ACC-00147,Closed Won,12982.86,2024-06-26,Grant,FUND-320-BLUETECH
CE-OPP-00148,FY2024 Grant - 00148,CE-ACC-00148,Closed Lost,7498.33,2024-05-05,Grant,FUND-410-CAPITAL
CE-OPP-00149,FY2024 Grant - 00149,CE-ACC-00149,Closed Won,17543.77,2024-12-07,Grant,FUND-100-GEN
CE-OPP-00150,FY2024 Grant - 00150,CE-ACC-00150,Closed Won,12230.94,2024-11-21,Grant,FUND-210-SCHOL
CE-OPP-00151,FY2024 Grant - 00151,CE-ACC-00151,Closed Won,51172.41,2024-01-16,Grant,FUND-320-BLUETECH
CE-OPP-00152,FY2023 Grant - 00152,CE-ACC-00152,Closed Lost,15393.32,2023-12-24,Grant,FUND-410-CAPITAL
CE-OPP-00153,FY2024 Grant - 00153,CE-ACC-00153,Closed Won,29570.66,2024-09-06,Grant,FUND-100-GEN
CE-OPP-00154,FY2025 Grant - 00154,CE-ACC-00154,Closed Won,14225.33,2025-07-19,Grant,FUND-210-SCHOL
CE-OPP-00155,FY2022 Grant - 00155,CE-ACC-00155,Closed Won,22400.42,2022-10-15,Grant,FUND-320-BLUETECH
CE-OPP-00156,FY2024 Grant - 00156,CE-ACC-00156,Prospecting,43472.60,2024-08-05,Grant,FUND-410-CAPITAL
CE-OPP-00157,FY2022 Grant - 00157,CE-ACC-00157,Proposal Submitted,3693.28,2022-12-13,Grant,FUND-100-GEN
CE-OPP-00158,FY2024 Grant - 00158,CE-ACC-00158,Closed Won,19848.82,2024-12-06,Grant,FUND-210-SCHOL
CE-OPP-00159,FY2024 Grant - 00159,CE-ACC-00159,Closed Won,18371.61,2024-11-28,Grant,FUND-320-BLUETECH
CE-OPP-00160,FY2024 Grant - 00160,CE-ACC-00160,Prospecting,145157.77,2024-12-17,Grant,FUND-410-CAPITAL
CE-OPP-00161,FY2023 Grant - 00161,CE-ACC-00161,Prospecting,5485.27,2023-06-12,Grant,FUND-100-GEN
CE-OPP-00162,FY2023 Grant - 00162,CE-ACC-00162,Prospecting,5579.08,2023-09-25,Grant,FUND-210-SCHOL
CE-OPP-00163,FY2024 Grant - 00163,CE-ACC-00163,Closed Lost,6040.31,2024-04-04,Grant,FUND-320-BLUETECH
CE-OPP-00164,FY2023 Grant - 00164,CE-ACC-00164,Closed Won,29879.52,2023-09-06,Grant,FUND-410-CAPITAL
CE-OPP-00165,FY2022 Grant - 00165,CE-ACC-00165,Closed Won,26037.29,2022-11-03,Grant,FUND-100-GEN
CE-OPP-00166,FY2023 Grant - 00166,CE-ACC-00166,Closed Lost,6174.67,2023-08-28,Grant,FUND-210-SCHOL
CE-OPP-00167,FY2024 Grant - 00167,CE-ACC-00167,Proposal Submitted,31621.57,2024-11-22,Grant,FUND-320-BLUETECH
CE-OPP-00168,FY2023 Grant - 00168,CE-ACC-00168,Closed Won,15286.78,2023-11-14,Grant,FUND-410-CAPITAL
CE-OPP-00169,FY2023 Grant - 00169,CE-ACC-00169,Closed Won,10499.31,2023-08-04,Grant,FUND-100-GEN
CE-OPP-00170,FY2023 Grant - 00170,CE-ACC-00170,Closed Won,10870.32,2023-10-10,Grant,FUND-210-SCHOL
CE-OPP-00171,FY2023 Grant - 00171,CE-ACC-00171,Closed Won,19576.24,2023-07-06,Grant,FUND-320-BLUETECH
CE-OPP-00172,FY2025 Grant - 00172,CE-ACC-00172,Awarded,6059.61,2025-01-08,Grant,FUND-410-CAPITAL
CE-OPP-00173,FY2023 Grant - 00173,CE-ACC-00173,Closed Won,33073.28,2023-12-09,Grant,FUND-100-GEN
CE-OPP-00174,FY2023 Grant - 00174,CE-ACC-00174,Closed Won,19197.05,2023-02-15,Grant,FUND-210-SCHOL
CE-OPP-00175,FY2023 Grant - 00175,CE-ACC-00175,Awarded,12128.77,2023-12-01,Grant,FUND-320-BLUETECH
CE-OPP-00176,FY2023 Grant - 00176,CE-ACC-00176,Closed Won,27895.56,2023-04-06,Grant,FUND-410-CAPITAL
CE-OPP-00177,FY2023 Grant - 00177,CE-ACC-00177,Closed Won,9999.86,2023-06-21,Grant,FUND-100-GEN
CE-OPP-00178,FY2023 Grant - 00178,CE-ACC-00178,Closed Won,20474.99,2023-01-25,Grant,FUND-210-SCHOL
CE-OPP-00179,FY2024 Grant - 00179,CE-ACC-00179,Closed Won,13035.75,2024-03-26,Grant,FUND-320-BLUETECH
CE-OPP-00180,FY2022 Grant - 00180,CE-ACC-00180,Closed Won,3890.58,2022-04-28,Grant,FUND-410-CAPITAL
CE-OPP-00181,FY2024 Grant - 00181,CE-ACC-00181,Closed Won,9247.45,2024-09-12,Grant,FUND-100-GEN
CE-OPP-00182,FY2022 Grant - 00182,CE-ACC-00182,Closed Won,27891.38,2022-05-23,Grant,FUND-210-SCHOL
CE-OPP-00183,FY2024 Grant - 00183,CE-ACC-00183,Closed Won,116110.39,2024-02-16,Grant,FUND-320-BLUETECH
CE-OPP-00184,FY2022 Grant - 00184,CE-ACC-00184,Closed Won,9632.64,2022-12-27,Grant,FUND-410-CAPITAL
CE-OPP-00185,FY2022 Grant - 00185,CE-ACC-00185,Closed Won,45895.24,2022-07-13,Grant,FUND-100-GEN
CE-OPP-00186,FY2022 Grant - 00186,CE-ACC-00186,Closed Won,46457.54,2022-08-01,Grant,FUND-210-SCHOL
CE-OPP-00187,FY2024 Grant - 00187,CE-ACC-00187,Awarded,6192.18,2024-06-12,Grant,FUND-320-BLUETECH
CE-OPP-00188,FY2023 Grant - 00188,CE-ACC-00188,Closed Won,16438.55,2023-12-26,Grant,FUND-410-CAPITAL
CE-OPP-00189,FY2025 Grant - 00189,CE-ACC-00189,Closed Won,10019.10,2025-12-06,Grant,FUND-100-GEN
CE-OPP-00190,FY2022 Grant - 00190,CE-ACC-00190,Closed Won,45717.21,2022-03-16,Grant,FUND-210-SCHOL
CE-OPP-00191,FY2022 Grant - 00191,CE-ACC-00191,Closed Lost,14768.32,2022-02-28,Grant,FUND-320-BLUETECH
CE-OPP-00192,FY2024 Grant - 00192,CE-ACC-00192,Prospecting,17354.79,2024-05-05,Grant,FUND-410-CAPITAL
CE-OPP-00193,FY2023 Grant - 00193,CE-ACC-00193,Proposal Submitted,34270.58,2023-11-14,Grant,FUND-100-GEN
CE-OPP-00194,FY2023 Grant - 00194,CE-ACC-00194,Closed Won,88889.40,2023-08-24,Grant,FUND-210-SCHOL
CE-OPP-00195,FY2023 Grant - 00195,CE-ACC-00195,Awarded,9745.24,2023-10-07,Grant,FUND-320-BLUETECH
CE-OPP-00196,FY2024 Grant - 00196,CE-ACC-00196,Closed Won,17065.35,2024-06-09,Grant,FUND-410-CAPITAL
CE-OPP-00197,FY2022 Grant - 00197,CE-ACC-00197,Proposal Submitted,7041.27,2022-03-15,Grant,FUND-100-GEN
CE-OPP-00198,FY2023 Grant - 00198,CE-ACC-00198,Closed Won,14682.89,2023-03-09,Grant,FUND-210-SCHOL
CE-OPP-00199,FY2022 Grant - 00199,CE-ACC-00199,Closed Won,16408.14,2022-06-08,Grant,FUND-320-BLUETECH
CE-OPP-00200,FY2022 Grant - 00200,CE-ACC-00200,Closed Won,2950.40,2022-10-18,Grant,FUND-410-CAPITAL
CE-OPP-00201,FY2022 Grant - 00201,CE-ACC-00201,Closed Lost,179612.04,2022-07-26,Grant,FUND-100-GEN
CE-OPP-00202,FY2024 Grant - 00202,CE-ACC-00202,Proposal Submitted,10549.58,2024-12-24,Grant,FUND-210-SCHOL
CE-OPP-00203,FY2024 Grant - 00203,CE-ACC-00203,Closed Lost,10116.08,2024-09-04,Grant,FUND-320-BLUETECH
CE-OPP-00204,FY2024 Grant - 00204,CE-ACC-00204,Closed Won,58936.71,2024-07-07,Grant,FUND-410-CAPITAL
CE-OPP-00205,FY2023 Grant - 00205,CE-ACC-00205,Closed Won,55561.19,2023-09-17,Grant,FUND-100-GEN
CE-OPP-00206,FY2024 Grant - 00206,CE-ACC-00206,Awarded,7444.97,2024-12-06,Grant,FUND-210-SCHOL
